Pos	Blue	Green	Red
  0	0	0	0
  1	0	0	0
  2	0	0	0
  3	20	0	0
  4	130	0	0
  5	170	0	0
  6	400	0	0
  7	850	0	0
  8	1320	0	0
  9	1440	0	0
 10	2450	0	0
 11	2840	0	0
 12	3230	0	0
 13	3580	0	0
 14	4780	0	0
 15	5720	0	0
 16	6680	0	0
 17	8900	0	0
 18	11420	0	0
 19	13230	0	0
 20	17650	0	0
 21	22840	0	0
 22	29940	0	0
 23	36290	0	0
 24	48510	0	0
 25	65510	0	0
 26	77280	0	0
 27	90100	0	0
 28	113060	0	0
 29	139060	0	0
 30	185280	0	0
 31	232050	0	0
 32	285370	0	20
 33	346190	0	490
 34	433020	0	970
 35	533840	0	1280
 36	662110	0	1990
 37	827650	0	3040
 38	1037550	0	4010
 39	1297530	0	5920
 40	1583830	0	8670
 41	1914610	230	17720
 42	2376990	470	27780
 43	2881980	2360	61460
 44	3551580	4120	153010
 45	4420100	9850	379100
 46	5408940	33950	826130
 47	6538200	82380	1492780
 48	7748180	226750	2431170
 49	8940450	600550	3642720
 50	10135010	1751530	5006940
 51	11362190	5663400	6662240
 52	12587450	17346930	8604100
 53	13973680	45892790	10506150
 54	15506410	96748530	12040630
 55	17491990	159714610	12869340
 56	19472890	218884230	13374450
 57	21615980	264957180	13642130
 58	23574910	295715340	13782360
 59	24954710	297922060	13654450
 60	25828220	264597650	13315340
 61	25918710	206194740	12865420
 62	26191880	140241830	12502950
 63	26188180	81920110	12156870
 64	26141710	45098510	11782510
 65	26267050	27450990	11351640
 66	26714330	20105670	11040330
 67	28026990	17194930	10915780
 68	31752390	15739070	10649300
 69	39884810	14776010	10447480
 70	55179430	13874840	10411950
 71	80653400	13345380	10258140
 72	112059980	12898320	9981850
 73	142539840	12289980	9816220
 74	169691700	12019980	9753880
 75	200265100	11797360	9775220
 76	231248460	11536630	9853770
 77	250882930	11245500	9844280
 78	244948390	10991330	9817510
 79	214479320	10873650	9883640
 80	168408870	10893060	9718730
 81	121901040	11066520	9715630
 82	83559140	11112150	9653790
 83	54630090	11129730	9649850
 84	36952670	11152720	9640870
 85	26452990	11135860	9524910
 86	20425460	11088290	9441310
 87	16461060	10944210	9448190
 88	13740560	10786570	9399120
 89	11907530	10647730	9467120
 90	10582840	10568030	9522790
 91	9566110	10499240	9413850
 92	8708250	10338960	9361660
 93	8042090	10117480	9349920
 94	7454760	9935380	9362910
 95	6864330	9740350	9353380
 96	6405450	9532920	9402770
 97	6031150	9537050	9405870
 98	5702170	9475330	9325530
 99	5445400	9424360	9260770
100	5216620	9461360	9308680
101	5009040	9566610	9321340
102	4781430	9592410	9240820
103	4595870	9567330	9243800
104	4473420	9499040	9210440
105	4366030	9380940	9090000
106	4221100	9286030	9094930
107	4114710	9233050	9058780
108	4001480	9201610	8938470
109	3874380	9155590	8735480
110	3730110	9117580	8631270
111	3644270	9075030	8488900
112	3526170	9050330	8348410
113	3403160	9015670	8213980
114	3303380	8928260	8092000
115	3239940	8846370	7963520
116	3146560	8744810	7882620
117	3071290	8640340	7751540
118	2993470	8475460	7614850
119	2889530	8390310	7491690
120	2839920	8300220	7417990
121	2795630	8178070	7336640
122	2746700	7993230	7239720
123	2700100	7914690	7199230
124	2656380	7827940	7087430
125	2587610	7702590	7022020
126	2538170	7559750	6927730
127	2476150	7413980	6818800
128	2437200	7197970	6693270
129	2371940	6941320	6593220
130	2333600	6769170	6489230
131	2309320	6593840	6403730
132	2261080	6384880	6339000
133	2192490	6264590	6262890
134	2138980	6155870	6210860
135	2098760	6082260	6165130
136	2069340	5974600	6117650
137	2048990	5794070	6023530
138	2016040	5665620	5931260
139	1991240	5513040	5820570
140	1954230	5403880	5761130
141	1925870	5262140	5706150
