config,init,dump_s,scp_s,filter_s,restore_s,exec_s
base,.599695700,4.872454323,8.508720872,2.641389475,1.009181994,45.198236
split16_16_tcp,.599695700,4.872454323,8.508720872,2.651378342,3.864163149,32.012408
split16_16_rdma,.599695700,4.872454323,8.508720872,2.622159511,4.168868395,38.307662
split16_48_tcp,.599695700,4.872454323,8.508720872,2.589708271,3.858227474,26.443417
split16_48_rdma,.599695700,4.872454323,8.508720872,2.616642242,4.771548080,26.827920
split48_16_tcp,.599695700,4.872454323,8.508720872,2.678402075,3.879126483,40.360652
split48_16_tcp,.599695700,4.872454323,8.508720872,2.550274492,4.143722862,40.244914
split32_16_16_tcp,.609110397,4.915414868,16.715280261,2.666433254,5.947952314,33.564288
split32_16_16_rdma,.609110397,4.915414868,16.715280261,2.614808729,4.730700541,40.167029
split22_21_21_tcp,.609110397,4.915414868,16.715280261,2.615472422,3.875783016,30.638405
split22_21_21_rdma,.609110397,4.915414868,16.715280261,2.649865668,4.148009319,28.872728
