
cores,config,transport,dump,scp_s,filter,restore,execution
1,vanilla,0,0,0,0,0,37.367835004
1,5+1+1+1,tcp,.205060866,2.800360552,.095520934,2.527308989,21.870601
1,5+1+1+1,rdma,.205060866,2.800360552,.096771026,7.952856184,35.434484
1,2+2+2+2,tcp,.205060866,2.800360552,.098197198,1.735280513,8.785622
1,2+2+2+2,rdma,.205060866,2.800360552,.096766659,3.655260691,21.251814
1,8,tcp,.205060866,2.800360552,.090379260,2.965686689,34.416794
1,4+4,tcp,.205060866,2.800360552,.096871997,2.279169368,17.393693
1,4+4,rdma,.205060866,2.800360552,.096844796,3.443908762,21.452621
1,4+2+2,tcp,.205060866,2.800360552,.095883765,2.360981058,17.068846
1,4+2+2,rdma,.205060866,2.800360552,.096749537,5.279047834,25.775933
2,vanilla,0,0,0,0,0,20.175335654
2,5+1+1+1,tcp,.128366633,2.786658197,.099235291,2.408648168,11.023273
2,5+1+1+1,rdma,.128366633,2.786658197,.097098778,4.252160519,17.818974
2,2+2+2+2,tcp,.128366633,2.786658197,.097476917,1.340591311,4.474692
2,2+2+2+2,rdma,.128366633,2.786658197,.097973617,2.147723957,10.950243
2,8,tcp,.128366633,2.786658197,.091802035,2.942551497,17.257875
2,4+4,tcp,.128366633,2.786658197,.099024606,2.262972117,8.742842
2,4+4,rdma,.128366633,2.786658197,.097606560,2.020423166,10.758123
2,4+2+2,tcp,.128366633,2.786658197,.098192458,2.314267012,8.847766
2,4+2+2,rdma,.128366633,2.786658197,.096400813,3.505117541,12.897804
3,vanilla,0,0,0,0,0,14.527760147
3,5+1+1+1,tcp,.128201955,2.544182798,.096957887,2.378263589,7.958465
3,5+1+1+1,rdma,.128201955,2.544182798,.097374047,4.538034604,12.358349
3,2+2+2+2,tcp,.128201955,2.544182798,.096258036,1.338583860,4.559602
3,2+2+2+2,rdma,.128201955,2.544182798,.096633600,1.368813278,8.572493
3,8,tcp,.128201955,2.544182798,.092109213,2.960139115,11.592763
3,4+4,tcp,.128201955,2.544182798,.097596654,2.280149370,6.531441
3,4+4,rdma,.128201955,2.544182798,.099004251,2.021877316,8.001819
3,4+2+2,tcp,.128201955,2.544182798,.098278882,2.297771374,6.454937
3,4+2+2,rdma,.128201955,2.544182798,.097570845,2.055597002,8.552645
4,vanilla,0,0,0,0,0,11.571218700
4,5+1+1+1,tcp,.098939580,2.531445841,.097576847,2.368997671,6.664906
4,5+1+1+1,rdma,.098939580,2.531445841,.097023670,2.445947195,8.659413
4,2+2+2+2,tcp,.098939580,2.531445841,.096902352,1.572288685,4.428475
4,2+2+2+2,rdma,.098939580,2.531445841,.098613398,1.365149227,6.251553
4,8,tcp,.098939580,2.531445841,.091717428,2.953382354,8.593351
4,4+4,tcp,.098939580,2.531445841,.098195586,2.009776721,4.549899
4,4+4,rdma,.098939580,2.531445841,.096277512,2.016805585,6.387172
4,4+2+2,tcp,.098939580,2.531445841,.097562670,2.267682657,4.543133
4,4+2+2,rdma,.098939580,2.531445841,.098502080,2.055583448,8.559163
8,vanilla,0,0,0,0,0,7.289943411
8,5+1+1+1,tcp,.079563147,2.806234154,.098043481,2.377240250,4.538811
8,5+1+1+1,rdma,.079563147,2.806234154,.097319865,2.448221135,6.219047
8,2+2+2+2,tcp,.079563147,2.806234154,.097902256,1.319420015,4.482675
8,2+2+2+2,rdma,.079563147,2.806234154,.097340744,1.378999087,4.355082
8,8,tcp,.079563147,2.806234154,.091728630,2.943551790,5.724493
8,4+4,tcp,.079563147,2.806234154,.096967615,2.034992766,4.534275
8,4+4,rdma,.079563147,2.806234154,.097062072,2.042657612,4.362061
8,4+2+2,tcp,.079563147,2.806234154,.097274301,2.017641222,4.498661
8,4+2+2,rdma,.079563147,2.806234154,.098690945,2.064519827,4.517457

