cores,config,transport,dump,scp_s,filter,restore,exec
32,vanilla,0,0,0,0,.001739639,0.368
32,32,local,.375270178,4.738490927,.242935183,.109597315,0.655255
32,16+16,tcp,.375270178,4.738490927,.250948649,.832041789,4.312519
32,16+16,rdma,.375270178,4.738490927,.250146506,.869027843,1.905831
32,12+10+10,tcp,.375270178,4.738490927,.248431352,1.007366283,5.290769
32,12+10+10,rdma,.375270178,4.738490927,.249033440,.886391379,2.727837
32,8+8+8+8,tcp,.375270178,4.738490927,.248025772,.841110781,4.763463
32,8+8+8+8,rdma,.375270178,4.738490927,.238439247,.905367096,3.024939
32,17+5+5+5,rdma,.375270178,4.738490927,.252025588,.896409225,3.170273
32,17+5+5+5,tcp,.376608146,4.774225990,.249808322,.839052362,4.948026
