cores,config,transport,dump,scp_s,filter,restore,exec
16,vanilla,local,0,0,0,0,0.403
16,17+5+5+5,tcp,.407806778,3.978348697,.255042001,.833242734,5.193698
16,17+5+5+5,rdma,.407806778,3.978348697,.252261063,1.192341530,3.175358
16,32,local,.407806778,3.978348697,.245345458,.102558173,0.672581
16,16+16,tcp,.407806778,3.978348697,.254197029,.833475578,4.133561
16,16+16,rdma,.407806778,3.978348697,.254400380,.856707306,1.968984
16,12+10+10,tcp,.407806778,3.978348697,.252535386,1.006606658,5.905400
16,12+10+10,rdma,.407806778,3.978348697,.251139571,.889429573,2.753271
16,8+8+8+8,tcp,.407806778,3.978348697,.252799711,1.074281910,5.743458
16,8+8+8+8,rdma,.407806778,3.978348697,.252807186,.904514754,2.953441
1,vanilla,local,0,0,0,0,00.634
1,17+5+5+5,tcp,1.516483659,4.847576507,.247714275,1.014681866,5.894943
1,17+5+5+5,rdma,1.516483659,4.847576507,.250360873,1.130446853,18.672619
1,32,local,1.516483659,4.847576507,.246911048,.100236455,0.990302
1,16+16,tcp,1.516483659,4.847576507,.251517398,.825704418,3.766233
1,16+16,rdma,1.516483659,4.847576507,.251269402,.872415712,9.619403
1,12+10+10,tcp,1.516483659,4.847576507,.250020182,.914790401,5.801277
1,12+10+10,rdma,1.516483659,4.847576507,.250436783,1.002554929,13.919144
1,8+8+8+8,tcp,1.516483659,4.847576507,.249800121,1.270262087,5.622752
1,8+8+8+8,rdma,1.516483659,4.847576507,.252765546,1.139073891,20.772961
32,vanilla,local,0,0,0,0,0.368
32,32,local,.375270178,4.738490927,.242935183,.109597315,0.655255
32,16+16,tcp,.375270178,4.738490927,.250948649,.832041789,4.312519
32,16+16,rdma,.375270178,4.738490927,.250146506,.869027843,1.905831
32,12+10+10,tcp,.375270178,4.738490927,.248431352,1.007366283,5.290769
32,12+10+10,rdma,.375270178,4.738490927,.249033440,.886391379,2.727837
32,8+8+8+8,tcp,.375270178,4.738490927,.248025772,.841110781,4.763463
32,8+8+8+8,rdma,.375270178,4.738490927,.238439247,.905367096,3.024939
32,17+5+5+5,rdma,.375270178,4.738490927,.252025588,.896409225,3.170273
32,17+5+5+5,tcp,.376608146,4.774225990,.249808322,.839052362,4.948026
4,vanilla,local,0,0,0,0,00.437
4,17+5+5+5,tcp,.746310256,4.815193384,.249767223,.839617284,5.197370
4,17+5+5+5,rdma,.746310256,4.815193384,.248482096,.906391908,3.298180
4,32,local,.746310256,4.815193384,.243980744,.100587087,0.706217
4,16+16,tcp,.746310256,4.815193384,.251788258,.815876677,4.128414
4,16+16,rdma,.746310256,4.815193384,.246804474,.835084203,1.951745
4,12+10+10,tcp,.746310256,4.815193384,.250933368,.821545463,5.538566
4,12+10+10,rdma,.746310256,4.815193384,.248058723,.851071949,2.388226
4,8+8+8+8,tcp,.746310256,4.815193384,.336399355,.828104350,5.421452
4,8+8+8+8,rdma,.746310256,4.815193384,.250772937,.882760845,3.045911
8,vanilla,local,0,0,0,0,0.401
8,17+5+5+5,tcp,.543205562,4.761187883,.254606875,.828984891,5.055020
8,17+5+5+5,rdma,.543205562,4.761187883,.251645861,.905657016,3.250113
8,32,local,.543205562,4.761187883,.245670440,.102332654,0.687048
8,16+16,tcp,.543205562,4.761187883,.257155959,.838592975,3.841229
8,16+16,rdma,.543205562,4.761187883,.250908810,.884226676,1.983551
8,12+10+10,tcp,.543205562,4.761187883,.250904192,.845684578,5.509519
8,12+10+10,rdma,.543205562,4.761187883,.252003300,.881659436,2.670785
8,8+8+8+8,tcp,.543205562,4.761187883,.352999341,.834564213,5.133740
8,8+8+8+8,rdma,.543205562,4.761187883,.248472467,.915595000,2.948190
