cores,config,transport,dump,scp_s,filter,restore,exec
1,vanilla,0,0,0,0,.001083111,17.025569133
1,base,tcp,.227426172,1.970690767,.091579743,1.220074323,15.858540
1,4_4_t,tcp,.227426172,1.970690767,.096399052,1.151429196,8.011305
1,4_4_r,rdma,.227426172,1.970690767,.096177057,1.766518253,9.979957
1,4_2_2_t,tcp,.227426172,1.970690767,.096119518,1.520488043,7.956447
1,4_2_2_r,rdma,.227426172,1.970690767,.096478591,2.468400654,11.921187
1,5_1_1_1_t,tcp,.227426172,1.970690767,.095879820,1.687262860,9.947606
1,5_1_1_1_r,rdma,.227426172,1.970690767,.096470319,3.743122902,15.898575
1,2_2_2_2_t,tcp,.227426172,1.970690767,.096868565,1.034819239,4.026169
1,2_2_2_2_r,rdma,.227426172,1.970690767,.097270710,2.264977798,9.972700
