cores,config,transport,dump,scp_s,filter,restore,execute
1,vanilla,local,0,0,0,0,17.025569133
1,8,tcp,.227426172,1.970690767,.091579743,1.220074323,15.858540
1,4+4,tcp,.227426172,1.970690767,.096399052,1.151429196,8.011305
1,4+4,rdma,.227426172,1.970690767,.096177057,1.766518253,9.979957
1,4+2+2,tcp,.227426172,1.970690767,.096119518,1.520488043,7.956447
1,4+2+2,rdma,.227426172,1.970690767,.096478591,2.468400654,11.921187
1,5+1+1+1,tcp,.227426172,1.970690767,.095879820,1.687262860,9.947606
1,5+1+1+1,rdma,.227426172,1.970690767,.096470319,3.743122902,15.898575
1,2+2+2+2,tcp,.227426172,1.970690767,.096868565,1.034819239,4.026169
1,2+2+2+2,rdma,.227426172,1.970690767,.097270710,2.264977798,9.972700
2,vanilla,local,0,0,0,0,9.150043551
2,8,local,.114153187,2.236159931,.091342116,1.223301282,8.051391
2,4+4,tcp,.114153187,2.236159931,.095819699,1.153576920,4.033386
2,4+4,rdma,.114153187,2.236159931,.096592318,1.174400342,4.995340
2,4+2+2,tcp,.114153187,2.236159931,.096899764,1.493343072,4.028938
2,4+2+2,rdma,.114153187,2.236159931,.097202712,1.821980135,5.958948
2,5+1+1+1,tcp,.114153187,2.236159931,.096930312,1.426795048,5.066737
2,5+1+1+1,rdma,.114153187,2.236159931,.097323829,2.207313011,7.930089
2,2+2+2+2,tcp,.114153187,2.236159931,.097032082,.926072038,2.035596
2,2+2+2+2,rdma,.114153187,2.236159931,.096585941,1.302427761,5.448255

3,vanilla,local,0,0,0,0,6.528350403
3,8,local,.090427497,2.810204582,.090969544,1.220321980,5.363268
3,4+4,tcp,.090427497,2.810204582,.099258632,1.162406972,3.024297
3,4+4,rdma,.090427497,2.810204582,.098164962,1.173839868,3.973298
3,4+2+2,tcp,.090427497,2.810204582,.096652146,1.170702531,3.018919
3,4+2+2,rdma,.090427497,2.810204582,.096804472,1.221265943,4.003618
3,5+1+1+1,tcp,.090427497,2.810204582,.096917153,1.321329900,3.489207
3,5+1+1+1,rdma,.090427497,2.810204582,.097267910,1.896059012,5.510036
3,2+2+2+2,tcp,.090427497,2.810204582,.097668842,.874575276,2.051298
3,2+2+2+2,rdma,.090427497,2.810204582,.097066503,1.227936933,3.960070
4,vanilla,local,0,0,0,0,5.177803086
4,8,local,.097028462,2.797706197,.092915964,1.227125686,4.004761
4,4+4,tcp,.097028462,2.797706197,.097688670,1.172846900,2.038211
4,4+4,rdma,.097028462,2.797706197,.097604703,1.180763903,2.988706
4,4+2+2,tcp,.097028462,2.797706197,.097286667,1.176894613,2.040502
4,4+2+2,rdma,.097028462,2.797706197,.096877500,1.209990031,3.045925
4,5+1+1+1,tcp,.097028462,2.797706197,.096486923,1.351659645,3.024763
4,5+1+1+1,rdma,.097028462,2.797706197,.097783244,1.398727456,3.997602
4,2+2+2+2,tcp,.097028462,2.797706197,.097399985,.882289431,2.045125
4,2+2+2+2,rdma,.097028462,2.797706197,.096973826,.942206577,2.992998
5,vanilla,local,0,0,0,0,4.532611256
5,8,local,.081841671,2.788875675,.092231821,1.216548898,3.472158
5,4+4,tcp,.081841671,2.788875675,.097107962,1.175458505,2.046833
5,4+4,rdma,.081841671,2.788875675,.097896911,1.195925336,2.022814
5,4+2+2,tcp,.081841671,2.788875675,.096268057,1.177093104,2.069046
5,4+2+2,rdma,.081841671,2.788875675,.098299987,1.211874256,2.503377
5,5+1+1+1,tcp,.081841671,2.788875675,.097771906,1.330363498,2.057777
5,5+1+1+1,rdma,.081841671,2.788875675,.096777012,1.399912565,3.571947
5,2+2+2+2,tcp,.081841671,2.788875675,.097113351,.890215540,2.039077
5,2+2+2+2,rdma,.081841671,2.788875675,.096569221,.949904594,2.023599
