cores,config,transport,dump,scp_s,filter,restore,execute
4,vanilla,local,0,0,0,0,271.389 
4,22+21+21,tcp,1.663509744,9.415798771,.416468577,4.149665370,99.080377
4,22+21+21,rdma,1.663509744,9.415798771,.416125072,4.567019189,119.421707
4,16+16+16+16,tcp,1.663509744,9.415798771,.416245489,4.488438273,73.884826
4,16+16+16+16,rdma,1.663509744,9.415798771,.418678392,4.502450907,89.516498
4,34+10+10+10,tcp,1.663509744,9.415798771,.419236057,4.436174724,73.521013
4,34+10+10+10,rdma,1.663509744,9.415798771,.418566975,4.563840896,91.287066
4,64,local,1.663509744,9.415798771,.414870642,3.286072455,275.249347
4,32+32,rdma,1.663509744,9.415798771,.420676470,4.483314924,151.092208
4,32+32,tcp,1.663509744,9.415798771,.421698029,4.479335879,141.418786
4,32+16+16,tcp,1.663509744,9.415798771,.417460075,4.444853632,142.187684
4,32+16+16,rdma,1.663509744,9.415798771,.418434766,4.534212987,150.476263





8,vanilla,local,local,0,0,0,0,136.671
8,22+21+21,tcp,1.518768166,9.353030185,.411080859,4.185557201,50.302017
8,22+21+21,rdma,1.518768166,9.353030185,.415869267,4.554619703,54.213235
8,16+16+16+16,tcp,1.518768166,9.353030185,.415958528,4.325618330,38.270531
8,16+16+16+16,rdma,1.518768166,9.353030185,.416178219,4.531043339,43.402381
8,34+10+10+10,tcp,1.518768166,9.353030185,.413037042,4.377724383,37.964134
8,34+10+10+10,rdma,1.518768166,9.353030185,.416342589,4.509050214,43.140821
8,64,local,1.518768166,9.353030185,.407450237,3.352209117,136.785975
8,32+32,rdma,1.518768166,9.353030185,.414759406,4.521951252,75.897864
8,32+32,tcp,1.518768166,9.353030185,.417098987,4.439733918,72.143033
8,32+16+16,tcp,1.518768166,9.353030185,.415423761,4.414745853,72.055151
8,32+16+16,rdma,1.518768166,9.353030185,.418880016,4.581139019,74.657491
16,vanilla,local,0,0,0,0, 131.500
16,22+21+21,tcp,.866255835,9.225934834,.413765267,4.316506119,49.001779
16,22+21+21,rdma,.866255835,9.225934834,.413862959,4.552632069,48.962842
16,16+16+16+16,tcp,.866255835,9.225934834,.414486827,4.428115243,36.399603
16,16+16+16+16,rdma,.866255835,9.225934834,.414504479,4.586878413,37.486242
16,34+10+10+10,tcp,.866255835,9.225934834,.415120058,4.429653093,36.296549
16,34+10+10+10,rdma,.866255835,9.225934834,.415665920,4.525888981,37.207800
16,64,local,.866255835,9.225934834,.407615592,3.287481163,133.171424
16,32+32,rdma,.866255835,9.225934834,.414959924,4.555376826,68.549253
16,32+32,tcp,.866255835,9.225934834,.415970531,4.470989115,68.828748
16,32+16+16,tcp,.866255835,9.225934834,.414175221,4.447671718,68.680817
16,32+16+16,rdma,.866255835,9.225934834,.421095210,4.592825340,69.203976

32,vanilla,local,local,0,0,0,0,66.655
32,64,local,.737726906,9.066306009,.411470118,3.377854850,66.466895
32,32+32,rdma,.737726906,9.066306009,.410455531,4.499055038,47.066470
32,32+32,tcp,.737726906,9.066306009,.408958856,4.165557114,47.625496
32,32+16+16,tcp,.737726906,9.066306009,.409935887,4.452343514,34.932014
32,22+21+21,tcp,.743626982,9.096682815,.412230461,4.605587186,33.742480
32,22+21+21,rdma,.743626982,9.096682815,.409604395,4.263914995,34.073629
32,16+16+16+16,tcp,.743626982,9.096682815,.410484917,4.446184485,30.562376
32,16+16+16+16,rdma,.743626982,9.096682815,.416948302,4.278003211,29.506757
32,34+10+10+10,tcp,.743626982,9.096682815,.411190928,4.446175264,30.857100
32,34+10+10+10,rdma,.743626982,9.096682815,.413271848,4.265735556,30.234976
