cores,config,transport,dump,scp_s,filter,restore,exec
8,vanilla,0,0,0,0,.001351253, 139.671
8,22+21+21,tcp,1.518768166,9.353030185,.411080859,4.185557201,50.302017
8,22+21+21,rdma,1.518768166,9.353030185,.415869267,4.554619703,54.213235
8,16+16+16+16,tcp,1.518768166,9.353030185,.415958528,4.325618330,38.270531
8,16+16+16+16,rdma,1.518768166,9.353030185,.416178219,4.531043339,43.402381
8,34+10+10+10,tcp,1.518768166,9.353030185,.413037042,4.377724383,37.964134
8,34+10+10+10,rdma,1.518768166,9.353030185,.416342589,4.509050214,43.140821
8,64,local,1.518768166,9.353030185,.407450237,3.352209117,136.785975
8,32+32,rdma,1.518768166,9.353030185,.414759406,4.521951252,75.897864
8,32+32,tcp,1.518768166,9.353030185,.417098987,4.439733918,72.143033
8,32+16+16,tcp,1.518768166,9.353030185,.415423761,4.414745853,72.055151
8,32+16+16,rdma,1.518768166,9.353030185,.418880016,4.581139019,74.657491
