cores,config,transport,dump,scp_s,filter,restore,exec
vanilla,0,0,0,0,.001360560,105.502
4,64,local,6.076466584,27.153066868,2.642115709,8.573512488,106.576960
4,32+32,rdma,6.076466584,27.153066868,2.564018221,11.942205293,89.106536
4,32+32,tcp,6.076466584,27.153066868,2.571029373,11.954673679,84.473953
4,32+16+16,tcp,6.076466584,27.153066868,2.568535375,12.084169911,84.304294
4,32+16+16,rdma,6.076466584,27.153066868,2.575804300,12.305355321,89.925749
4,22+21+21,tcp,6.076466584,27.153066868,2.574209432,6.840985343,65.821893
4,22+21+21,rdma,6.076466584,27.153066868,2.596058689,6.867966837,70.308044
4,16+16+16+16,tcp,6.076466584,27.153066868,2.622787541,6.216970903,53.512648
4,16+16+16+16,rdma,6.076466584,27.153066868,2.588036723,6.174659134,61.625710
4,34+10+10+10,tcp,6.076466584,27.153066868,2.671734829,6.128732882,53.737039
4,34+10+10+10,rdma,6.076466584,27.153066868,2.591058804,6.188153032,61.464628
4,19+45,tcp,6.076466584,27.153066868,2.683110346,11.919290206,62.192225
4,12+15+36,tcp,6.076466584,27.153066868,2.593881407,5.629425084,50.371193
4,9+10+21+34,tcp,6.076466584,27.153066868,2.600944785,6.369343426,35.597805
4,19+45,rdma,6.076466584,27.153066868,2.603842895,11.972699466,74.354388
4,12+15+36,rdma,6.076466584,27.153066868,2.605964778,5.768205631,59.144638
4,9+10+21+34,rdma,6.076466584,27.153066868,2.604700788,5.360381766,50.364655
