cores,config,transport,dump,scp_s,filter,restore,exec
vanilla,0,0,0,0,.001280199, 54.310 
8,64,local,5.764452595,27.480379426,2.665388732,8.708017877,53.490489
8,32+32,rdma,5.764452595,27.480379426,2.619440506,11.985865527,45.115944
8,32+32,tcp,5.764452595,27.480379426,2.633895349,11.724579036,44.434184
8,32+16+16,tcp,5.764452595,27.480379426,2.638485349,8.091531953,44.563910
8,32+16+16,rdma,5.764452595,27.480379426,2.625581466,11.793093757,46.459241
8,22+21+21,tcp,5.764452595,27.480379426,2.747144148,6.914996271,36.286484
8,22+21+21,rdma,5.764452595,27.480379426,2.660502923,6.694873501,37.209614
8,16+16+16+16,tcp,5.764452595,27.480379426,2.647503567,6.259164541,30.097782
8,16+16+16+16,rdma,5.764452595,27.480379426,2.676453234,5.970857004,33.186512
8,34+10+10+10,tcp,5.764452595,27.480379426,2.657858373,6.204330568,29.842476
8,34+10+10+10,rdma,5.764452595,27.480379426,2.631031376,5.968602102,32.719743
8,19+45,tcp,5.764452595,27.480379426,2.637506486,11.977282810,34.156115
8,12+15+36,tcp,5.764452595,27.480379426,2.632682960,11.966989800,34.793053
8,9+10+21+34,tcp,5.764452595,27.480379426,2.643794670,5.339809672,29.170460
8,19+45,rdma,5.764452595,27.480379426,2.657192664,11.790307260,35.798809
8,12+15+36,rdma,5.764452595,27.480379426,2.663425240,5.794670394,28.761436
8,9+10+21+34,rdma,5.764452595,27.480379426,2.640069722,6.541281517,24.354744
