cores,config,transport,dump,scp_s,filter,restore,execute
4,vanilla,local,0,0,0,0,105.502
4,64,local,6.076466584,27.153066868,2.642115709,8.573512488,106.576960
4,32+32,rdma,6.076466584,27.153066868,2.564018221,11.942205293,89.106536
4,32+32,tcp,6.076466584,27.153066868,2.571029373,11.954673679,84.473953
4,32+16+16,tcp,6.076466584,27.153066868,2.568535375,12.084169911,84.304294
4,32+16+16,rdma,6.076466584,27.153066868,2.575804300,12.305355321,89.925749
4,22+21+21,tcp,6.076466584,27.153066868,2.574209432,6.840985343,65.821893
4,22+21+21,rdma,6.076466584,27.153066868,2.596058689,6.867966837,70.308044
4,16+16+16+16,tcp,6.076466584,27.153066868,2.622787541,6.216970903,53.512648
4,16+16+16+16,rdma,6.076466584,27.153066868,2.588036723,6.174659134,61.625710
4,34+10+10+10,tcp,6.076466584,27.153066868,2.671734829,6.128732882,53.737039
4,34+10+10+10,rdma,6.076466584,27.153066868,2.591058804,6.188153032,61.464628
4,19+45,tcp,6.076466584,27.153066868,2.683110346,11.919290206,62.192225
4,12+15+36,tcp,6.076466584,27.153066868,2.593881407,5.629425084,50.371193
4,9+10+21+34,tcp,6.076466584,27.153066868,2.600944785,6.369343426,35.597805
4,19+45,rdma,6.076466584,27.153066868,2.603842895,11.972699466,74.354388
4,12+15+36,rdma,6.076466584,27.153066868,2.605964778,5.768205631,59.144638
4,9+10+21+34,rdma,6.076466584,27.153066868,2.604700788,5.360381766,50.364655


8,vanilla,local,0,0,0,0, 54.310 
8,64,local,5.764452595,27.480379426,2.665388732,8.708017877,53.490489
8,32+32,rdma,5.764452595,27.480379426,2.619440506,11.985865527,45.115944
8,32+32,tcp,5.764452595,27.480379426,2.633895349,11.724579036,44.434184
8,32+16+16,tcp,5.764452595,27.480379426,2.638485349,8.091531953,44.563910
8,32+16+16,rdma,5.764452595,27.480379426,2.625581466,11.793093757,46.459241
8,22+21+21,tcp,5.764452595,27.480379426,2.747144148,6.914996271,36.286484
8,22+21+21,rdma,5.764452595,27.480379426,2.660502923,6.694873501,37.209614
8,16+16+16+16,tcp,5.764452595,27.480379426,2.647503567,6.259164541,30.097782
8,16+16+16+16,rdma,5.764452595,27.480379426,2.676453234,5.970857004,33.186512
8,34+10+10+10,tcp,5.764452595,27.480379426,2.657858373,6.204330568,29.842476
8,34+10+10+10,rdma,5.764452595,27.480379426,2.631031376,5.968602102,32.719743
8,19+45,tcp,5.764452595,27.480379426,2.637506486,11.977282810,34.156115
8,12+15+36,tcp,5.764452595,27.480379426,2.632682960,11.966989800,34.793053
8,9+10+21+34,tcp,5.764452595,27.480379426,2.643794670,5.339809672,29.170460
8,19+45,rdma,5.764452595,27.480379426,2.657192664,11.790307260,35.798809
8,12+15+36,rdma,5.764452595,27.480379426,2.663425240,5.794670394,28.761436
8,9+10+21+34,rdma,5.764452595,27.480379426,2.640069722,6.541281517,24.354744


16,vanilla,local,0,0,0,0,51.733
16,64,local,4.973426525,26.720172804,2.609251892,8.623278653,51.726429
16,32+32,rdma,4.973426525,26.720172804,2.643034929,11.985217783,41.752535
16,32+32,tcp,4.973426525,26.720172804,2.622057579,11.684321715,41.877940
16,32+16+16,tcp,4.973426525,26.720172804,2.610469733,8.083724587,41.593776
16,32+16+16,rdma,4.973426525,26.720172804,2.640897352,7.867775100,43.589831
16,22+21+21,tcp,4.973426525,26.671265343,2.648609305,7.989204070,34.197329
16,22+21+21,rdma,4.973426525,26.671265343,2.665300231,6.916540450,35.996695
16,16+16+16+16,tcp,4.973426525,26.671265343,2.659837616,7.999928107,29.422617
16,16+16+16+16,rdma,4.973426525,26.671265343,2.648511020,6.239484747,30.345605
16,34+10+10+10,tcp,4.973426525,26.671265343,2.672293951,6.064557940,28.584466
16,34+10+10+10,rdma,4.973426525,26.671265343,2.625811161,6.231838437,30.694346
16,19+45,tcp,4.973426525,26.671265343,2.631537421,11.707481102,31.908580
16,12+15+36,tcp,4.973426525,26.671265343,2.620601822,11.966240208,25.374460
16,9+10+21+34,tcp,4.973426525,26.671265343,2.621784640,5.224169544,21.886100
16,19+45,rdma,4.973426525,26.671265343,2.622967798,12.012130428,31.399191
16,12+15+36,rdma,4.973426525,26.671265343,2.642050135,12.017589667,25.012333
16,9+10+21+34,rdma,4.973426525,26.671265343,2.625908864,6.561626410,24.730721

32,vanilla,local,0,0,0,0,28.314
32,64,local,5.067320050,26.339587595,2.585195317,8.644803387,27.686420
32,32+32,rdma,5.067320050,26.339587595,2.596423524,11.974603393,23.536387
32,32+32,tcp,5.067320050,26.339587595,2.784899506,12.734127236,24.286267
32,32+16+16,tcp,5.067320050,26.339587595,2.622577831,8.073276523,24.292657
32,32+16+16,rdma,5.067320050,26.339587595,2.609616087,7.824969490,23.826088
32,22+21+21,tcp,5.067320050,26.339587595,2.611547166,6.874379823,21.866735
32,22+21+21,rdma,5.067320050,26.339587595,2.618993191,6.634989405,21.446098
32,16+16+16+16,tcp,5.067320050,26.339587595,2.752496854,6.155846460,21.602511
32,16+16+16+16,rdma,5.067320050,26.339587595,2.666199082,5.931368648,19.997433
32,34+10+10+10,tcp,5.067320050,26.339587595,2.631822447,5.892106612,21.177470
32,34+10+10+10,rdma,5.067320050,26.339587595,2.609761637,6.198598915,21.091800
32,19+45,tcp,5.067320050,26.339587595,2.611213514,11.683474604,24.139308
32,12+15+36,tcp,5.067320050,26.339587595,2.612809586,5.669493360,22.179885
32,9+10+21+34,tcp,5.067320050,26.339587595,2.624322856,5.203695110,21.831047
32,19+45,rdma,5.067320050,26.339587595,2.603977073,11.997650252,22.223541
32,12+15+36,rdma,5.067320050,26.339587595,2.604203759,7.591984217,17.926736
32,9+10+21+34,rdma,5.067320050,26.339587595,2.634173657,5.379039429,17.508953
