cores,config,transport,dump,scp_s,filter,restore,exec
5,vanilla,0,0,0,0,.001234142,0
5,5+1+1+1+t,tcp,.101818133,2.787689978,.096481428,.628709676,2.043365
5,5+1+1+1+r,rdma,.101818133,2.787689978,.097339946,.688177808,3.292137
5,2+2+2+2+t,tcp,.101818133,2.787689978,.097609210,.595952216,2.002706
5,2+2+2+2+r,rdma,.101818133,2.787689978,.097033091,.659371183,2.324689
5,8,tcp,.101818133,2.787689978,.092422138,.081606643,3.424110
5,4+4+t,tcp,.101818133,2.787689978,.097576331,.610325691,2.022601
5,4+4+r,rdma,.101818133,2.787689978,.097696076,.633261987,2.057423
5,4+2+2+t,tcp,.101818133,2.787689978,.096249436,.610700764,2.036809
5,4+2+2+r,rdma,.101818133,2.787689978,.096340567,.658267147,2.706184
