cores,config,transport,dump,scp_s,filter,restore,execute
1,vanilla,local,0,0,0,0,16.373190
1,5+1+1+1+t,tcp,.196350827,2.773549347,.096179431,.789371500,10.185474
1,5+1+1+1+r,rdma,.196350827,2.773549347,.096947339,.960318937,16.141316
1,2+2+2+2+t,tcp,.196350827,2.773549347,.096863042,.786765691,4.011788
1,2+2+2+2+r,rdma,.196350827,2.773549347,.097079737,.886874659,10.103082
1,8,tcp,.196350827,2.773549347,.092332160,.080978233,16.205754
1,4+4+t,tcp,.196350827,2.773549347,.097315030,.894393292,8.078208
1,4+4+r,rdma,.196350827,2.773549347,.097639397,.658479787,10.070844
1,4+2+2+t,tcp,.196350827,2.773549347,.097657852,.997783675,8.055136
1,4+2+2+r,rdma,.196350827,2.773549347,.096222334,.820169711,12.247300

2,vanilla,local,0,0,0,0,8.374613324
2,5+1+1+1+t,tcp,.133568050,2.798168295,.097563243,.650774005,5.097050
2,5+1+1+1+r,rdma,.133568050,2.798168295,.096030744,.795895696,7.967450
2,2+2+2+2+t,tcp,.133568050,2.798168295,.097009566,.621712853,2.052291
2,2+2+2+2+r,rdma,.133568050,2.798168295,.097552383,.695028470,5.116754
2,8,tcp,.133568050,2.798168295,.090403871,.082048106,8.141007
2,4+4+t,tcp,.133568050,2.798168295,.104924249,.593163448,4.135684
2,4+4+r,rdma,.133568050,2.798168295,.097513312,.620485237,5.044383
2,4+2+2+t,tcp,.133568050,2.798168295,.096365664,.600226622,4.092740
2,4+2+2+r,rdma,.133568050,2.798168295,.097312497,.719616523,6.149817

3,vanilla,local,0,0,0,0,
3,5+1+1+1+t,tcp,.111002946,2.790515937,.098915734,.612074817,3.438562
3,5+1+1+1+r,rdma,.111002946,2.790515937,.097199329,.702441643,5.595237
3,2+2+2+2+t,tcp,.111002946,2.790515937,.097186846,.624105586,2.033033
3,2+2+2+2+r,rdma,.111002946,2.790515937,.096674275,.669230337,3.644345
3,8,tcp,.111002946,2.790515937,.092371588,.082396124,5.499338
3,4+4+t,tcp,.111002946,2.790515937,.098773576,.591003123,3.072210
3,4+4+r,rdma,.111002946,2.790515937,.098112478,.638350147,3.477077
3,4+2+2+t,tcp,.111002946,2.790515937,.097454667,.597803474,2.756102
3,4+2+2+r,rdma,.111002946,2.790515937,.096730632,.642346813,4.053159

4,vanilla,local,0,0,0,0,4.102459
4,5+1+1+1+t,tcp,.086523229,2.805670006,.097677287,.619247610,2.662819
4,5+1+1+1+r,rdma,.086523229,2.805670006,.098145384,.736076113,4.065684
4,2+2+2+2+t,tcp,.086523229,2.805670006,.097958444,.585752518,2.016065
4,2+2+2+2+r,rdma,.086523229,2.805670006,.097044732,.658021845,3.020774
4,8,tcp,.086523229,2.805670006,.091805851,.081855680,4.044317
4,4+4+t,tcp,.086523229,2.805670006,.097351196,.610585345,2.046940
4,4+4+r,rdma,.086523229,2.805670006,.096764789,.631504866,2.681225
4,4+2+2+t,tcp,.086523229,2.805670006,.096698074,.616514503,2.064339
4,4+2+2+r,rdma,.086523229,2.805670006,.097995443,.651993260,3.256481

5,vanilla,local,0,0,0,0,0
5,5+1+1+1+t,tcp,.101818133,2.787689978,.096481428,.628709676,2.043365
5,5+1+1+1+r,rdma,.101818133,2.787689978,.097339946,.688177808,3.292137
5,2+2+2+2+t,tcp,.101818133,2.787689978,.097609210,.595952216,2.002706
5,2+2+2+2+r,rdma,.101818133,2.787689978,.097033091,.659371183,2.324689
5,8,tcp,.101818133,2.787689978,.092422138,.081606643,3.424110
5,4+4+t,tcp,.101818133,2.787689978,.097576331,.610325691,2.022601
5,4+4+r,rdma,.101818133,2.787689978,.097696076,.633261987,2.057423
5,4+2+2+t,tcp,.101818133,2.787689978,.096249436,.610700764,2.036809
5,4+2+2+r,rdma,.101818133,2.787689978,.096340567,.658267147,2.706184
