cores,config,transport,dump,scp_s,filter,restore,exec
8,vanilla,0,0,0,0,.001279096,0
8,2+2+2+2,tcp,.151287291,3.711017243,.136403982,.727897458,14.986025
8,2+2+2+2,rdma,.151287291,3.711017243,.135423155,.798165024,14.795447
8,8,tcp,.151287291,3.711017243,.128365364,.217301811,13.377330
8,4+4+t,tcp,.151287291,3.711017243,.135412745,.761987623,13.687955
8,4+4+r,rdma,.151287291,3.711017243,.134261630,1.043187041,13.601643
8,4+2+2+t,tcp,.151287291,3.711017243,.134253785,1.045421733,14.313201
8,4+2+2+r,rdma,.151287291,3.711017243,.133684139,.805577905,14.228688
8,5+1+1+1+t,tcp,.151287291,3.711017243,.133934217,.990981985,15.167819
8,5+1+1+1+r,rdma,.151287291,3.711017243,.135095576,1.147561255,14.848849
