cores,config,transport,dump,scp_s,filter,restore,execute

1,vanilla,local,0,0,0,0, 121.660
1,2+2+2+2,tcp,.308842107,3.723239776,.133517372,.873542466,28.657400
1,2+2+2+2,rdma,.308842107,3.723239776,.134349632,1.158396044,75.334544
1,8,tcp,.308842107,3.723239776,.127902749,.226296977,121.902303
1,4+4+t,tcp,.308842107,3.723239776,.133116938,.997504876,58.659635
1,4+4+r,rdma,.308842107,3.723239776,.134441173,.837341086,78.625573
1,4+2+2+t,tcp,.308842107,3.723239776,.132896100,1.101541510,58.829156
1,4+2+2+r,rdma,.308842107,3.723239776,.132983589,1.081145530,92.991776
1,5+1+1+1+t,tcp,.308842107,3.723239776,.133671339,1.217261714,76.265908
1,5+1+1+1+r,rdma,.308842107,3.723239776,.132612309,1.713898421,126.635753

2,vanilla,local,0,0,0,0,56.677
2,2+2+2+2,tcp,.192014495,3.142925122,.135795147,.755558778,15.224976
2,2+2+2+2,rdma,.192014495,3.142925122,.134634301,1.149914404,36.754445
2,8,tcp,.192014495,3.142925122,.128897523,.221935741,57.618605
2,4+4+t,tcp,.192014495,3.142925122,.133584028,.980777615,27.568602
2,4+4+r,rdma,.192014495,3.142925122,.136150797,.740931085,35.772481
2,4+2+2+t,tcp,.192014495,3.142925122,.134483995,1.003316013,28.045683
2,4+2+2+r,rdma,.192014495,3.142925122,.135185450,.885051141,42.486944
2,5+1+1+1+t,tcp,.192014495,3.142925122,.134712644,1.085091945,35.936630
2,5+1+1+1+r,rdma,.192014495,3.142925122,.134396540,1.036261727,57.305198


4,vanilla,local,0,0,0,0,26.550
4,8,tcp,.164559317,3.649084599,.129489746,.247354335,26.478431
4,4+4+t,tcp,.164559317,3.649084599,.133802084,.734028413,14.003176
4,4+4+r,rdma,.164559317,3.649084599,.132963763,.751612217,18.724359
4,4+2+2+t,tcp,.164559317,3.649084599,.133198593,1.023228070,14.447152
4,4+2+2+r,rdma,.164559317,3.649084599,.133281709,.786471953,22.844431
4,5+1+1+1+t,tcp,.164559317,3.649084599,.134405934,.979990525,19.751962
4,5+1+1+1+r,rdma,.164559317,3.649084599,.133206064,1.119391780,28.435756
4,2+2+2+2+t,tcp,.166713607,3.709873437,.134800629,.740298874,14.967707
4,2+2+2+2+r,rdma,.166713607,3.709873437,.134110528,.778352812,20.833672

8,vanilla,local,0,0,0,0, 13.277
8,2+2+2+2,tcp,.151287291,3.711017243,.136403982,.727897458,14.986025
8,2+2+2+2,rdma,.151287291,3.711017243,.135423155,.798165024,14.795447
8,8,tcp,.151287291,3.711017243,.128365364,.217301811,13.377330
8,4+4+t,tcp,.151287291,3.711017243,.135412745,.761987623,13.687955
8,4+4+r,rdma,.151287291,3.711017243,.134261630,1.043187041,13.601643
8,4+2+2+t,tcp,.151287291,3.711017243,.134253785,1.045421733,14.313201
8,4+2+2+r,rdma,.151287291,3.711017243,.133684139,.805577905,14.228688
8,5+1+1+1+t,tcp,.151287291,3.711017243,.133934217,.990981985,15.167819
8,5+1+1+1+r,rdma,.151287291,3.711017243,.135095576,1.147561255,14.848849
